iter	Logloss
0	0.6786200096
1	0.6653946537
2	0.6537259081
3	0.6428821828
4	0.6333146465
5	0.6250194636
6	0.6172387365
7	0.6103245867
8	0.6039370914
9	0.5983975388
10	0.5931134931
11	0.5885357877
12	0.5843741963
13	0.5806107878
14	0.5772316605
15	0.574250172
16	0.5714901246
17	0.5689269328
18	0.5667156001
19	0.5647944603
20	0.5628570152
21	0.5612635808
22	0.559509583
23	0.55818873
24	0.5569282906
25	0.5556538008
26	0.5545427282
27	0.5534399005
28	0.5524452477
29	0.5515378286
30	0.5508622143
31	0.5499964439
32	0.5492609711
33	0.5486149358
34	0.5479404937
35	0.5473649753
36	0.5468308606
37	0.5463725513
38	0.5458753789
39	0.5455233639
40	0.5451136865
41	0.5447444395
42	0.5444249558
43	0.5441055669
44	0.5438496414
45	0.5435713656
46	0.5433283374
47	0.5430206067
48	0.5427558227
49	0.5425168755
50	0.5423106056
51	0.5421039513
52	0.5418935272
53	0.5416950651
54	0.5415266205
55	0.5413313577
56	0.5412009126
57	0.5410388815
58	0.5408981337
59	0.5407372258
60	0.5406574935
61	0.5405168819
62	0.5403823424
63	0.5402573266
64	0.5401498264
65	0.5399969782
66	0.5398816396
67	0.5397878872
68	0.5396800799
69	0.5395475104
70	0.5394702949
71	0.5393713157
72	0.5392811455
73	0.5391769406
74	0.5391141424
75	0.5390048918
76	0.5389421423
77	0.5388493383
78	0.5387670677
79	0.5386906105
80	0.5386218132
81	0.5385414013
82	0.5384706629
83	0.5383945145
84	0.5383302364
85	0.5382423286
86	0.5381904071
87	0.5381281532
88	0.5380493346
89	0.5380021227
90	0.5379415558
91	0.5378754392
92	0.5378378241
93	0.5377711687
94	0.5377018895
95	0.5376506731
96	0.5376073078
97	0.5375558135
98	0.5375028293
99	0.5374422849
100	0.5373904927
101	0.537348687
102	0.5373154506
103	0.5372708718
104	0.5372143186
105	0.5371598393
106	0.5371162721
107	0.5370704542
108	0.5370328817
109	0.5369950178
110	0.536967041
111	0.5369297423
112	0.5369085196
113	0.5368773588
114	0.5368354002
115	0.5367875818
116	0.5367864686
117	0.5367657268
118	0.536705646
119	0.5367052013
120	0.5366719583
121	0.5366278654
122	0.5365927563
123	0.536559613
124	0.5365404033
125	0.536488752
126	0.5364627244
127	0.5364566066
128	0.5364365499
129	0.5364209768
130	0.5363659731
131	0.5363369219
132	0.5362959638
133	0.5362582113
134	0.536217205
135	0.5361632523
136	0.536110367
137	0.53608413
138	0.536044847
139	0.5359858641
140	0.5359512365
141	0.5359288897
142	0.535897313
143	0.535859874
144	0.5358045652
145	0.5357699478
146	0.5357398341
147	0.5357095196
148	0.5356908791
149	0.5356609841
150	0.5356227905
151	0.5355854907
152	0.5355663281
153	0.5355129359
154	0.5354664234
155	0.5354241711
156	0.5353905767
157	0.5353619756
158	0.5353159505
159	0.5352692289
160	0.5352440872
161	0.5352256931
162	0.5351623795
163	0.5351205253
164	0.5350842195
165	0.5350562293
166	0.5350246423
167	0.5349945931
168	0.5349696214
169	0.5349344764
170	0.5349093974
171	0.5348754558
172	0.5348600613
173	0.5348429204
174	0.5348203551
175	0.5347849721
176	0.5347599586
177	0.5347306658
178	0.5347068162
179	0.5346756456
180	0.534661318
181	0.5346109484
182	0.5345854499
183	0.5345553818
184	0.5344990424
185	0.5344666003
186	0.5344251366
187	0.5343842831
188	0.534360667
189	0.5343323468
190	0.5343153103
191	0.5343082408
192	0.5342603309
193	0.5342221035
194	0.5341923034
195	0.5341364317
196	0.5341126413
197	0.5340669753
198	0.5340301565
199	0.5339798356
200	0.5339491707
201	0.5339150524
202	0.5338551763
203	0.5338222639
204	0.5337957524
205	0.5337727811
206	0.5337237482
207	0.5336963527
208	0.5336470597
209	0.5336342509
210	0.5336124372
211	0.5335638576
212	0.5335322094
213	0.5335132041
214	0.5334872424
215	0.5334406063
216	0.5334129485
217	0.5333930399
218	0.533311061
219	0.5332556976
220	0.5332343185
221	0.5332089956
222	0.5331523214
223	0.5331221482
224	0.5330729322
225	0.5330040102
226	0.5329614708
227	0.5329418142
228	0.5329018802
229	0.5328796523
230	0.532846363
231	0.5327996024
232	0.5327547286
233	0.5327077944
234	0.53267697
235	0.5326452572
236	0.5326025266
237	0.532576932
238	0.5325425192
239	0.5325060391
240	0.532477518
241	0.5324242209
242	0.5323989195
243	0.5323509648
244	0.5323040448
245	0.5322695693
246	0.5322298829
247	0.5322059277
248	0.532182415
249	0.5321446651
250	0.5321113794
251	0.5320852906
252	0.5320381149
253	0.5319993348
254	0.5319671209
255	0.531919765
256	0.5318794567
257	0.5318490586
258	0.5317897428
259	0.5317614191
260	0.531744652
261	0.5316790047
262	0.5316535796
263	0.5316100748
264	0.5315834989
265	0.5315430055
266	0.5315125194
267	0.5314791953
268	0.5314236563
269	0.5313835225
