iter	Passed	Remaining
0	7	7182
1	15	7913
2	22	7537
3	32	8065
4	39	7846
5	47	7890
6	54	7701
7	62	7738
8	68	7533
9	75	7496
10	82	7433
11	90	7415
12	98	7476
13	105	7405
14	112	7366
15	118	7312
16	128	7419
17	135	7400
18	145	7496
19	152	7460
20	160	7487
21	167	7465
22	175	7464
23	182	7438
24	190	7440
25	197	7385
26	203	7342
27	213	7397
28	219	7364
29	229	7416
30	237	7419
31	244	7408
32	251	7364
33	260	7388
34	265	7325
35	273	7337
36	279	7278
37	286	7249
38	293	7239
39	299	7197
40	307	7203
41	315	7189
42	322	7172
43	329	7167
44	337	7164
45	345	7167
46	353	7174
47	361	7169
48	369	7163
49	376	7149
50	382	7116
51	390	7110
52	395	7074
53	404	7084
54	411	7075
55	419	7066
56	426	7059
57	433	7034
58	440	7032
59	447	7009
60	456	7019
61	462	7000
62	472	7020
63	478	6998
64	486	6996
65	492	6967
66	499	6960
67	507	6956
68	514	6941
69	522	6947
70	530	6938
71	537	6930
72	543	6906
73	551	6906
74	557	6880
75	566	6891
76	573	6875
77	581	6871
78	587	6850
79	593	6824
80	601	6828
81	608	6813
82	616	6808
83	623	6799
84	631	6794
85	638	6791
86	646	6784
87	654	6778
88	660	6757
89	667	6751
90	673	6731
91	680	6715
92	687	6703
93	694	6696
94	701	6686
95	708	6671
96	715	6663
97	722	6651
98	731	6659
99	739	6653
100	747	6652
101	755	6651
102	764	6655
103	771	6644
104	779	6643
105	785	6626
106	794	6626
107	801	6617
108	808	6607
109	816	6605
110	823	6594
111	832	6598
112	839	6587
113	846	6580
114	852	6561
115	861	6562
116	867	6546
117	874	6534
118	880	6521
119	886	6501
120	894	6498
121	901	6485
122	907	6470
123	915	6465
124	922	6455
125	930	6455
126	936	6440
127	946	6449
128	954	6441
129	962	6440
130	968	6426
131	976	6419
132	981	6401
133	989	6396
134	996	6386
135	1003	6372
136	1009	6359
137	1016	6349
138	1022	6335
139	1031	6337
140	1038	6328
141	1045	6318
142	1051	6303
143	1060	6302
144	1065	6285
145	1071	6265
146	1077	6251
147	1083	6236
148	1090	6229
149	1097	6218
150	1103	6203
151	1109	6190
152	1116	6178
153	1123	6171
154	1130	6163
155	1138	6160
156	1146	6154
157	1154	6150
158	1161	6143
159	1169	6137
160	1176	6128
161	1182	6117
162	1189	6107
163	1196	6096
164	1201	6077
165	1209	6079
166	1217	6074
167	1227	6077
168	1234	6070
169	1242	6064
170	1250	6060
171	1257	6055
172	1264	6045
173	1272	6039
174	1278	6028
175	1288	6030
176	1294	6019
177	1304	6023
178	1311	6013
179	1319	6010
180	1325	5998
181	1333	5992
182	1339	5979
183	1345	5967
184	1352	5959
185	1358	5946
186	1364	5934
187	1371	5925
188	1378	5913
189	1386	5912
190	1393	5902
191	1402	5901
192	1409	5891
193	1418	5892
194	1425	5883
195	1433	5881
196	1440	5871
197	1448	5865
198	1454	5854
199	1460	5841
200	1467	5833
201	1473	5819
202	1482	5818
203	1488	5808
204	1495	5799
205	1503	5794
206	1510	5786
207	1518	5783
208	1524	5771
209	1533	5770
210	1540	5759
211	1548	5755
212	1554	5745
213	1562	5738
214	1568	5726
215	1574	5714
216	1582	5710
217	1589	5700
218	1597	5697
219	1603	5685
220	1612	5684
221	1620	5678
222	1629	5677
223	1635	5667
224	1644	5665
225	1651	5655
226	1656	5642
227	1664	5634
228	1670	5625
229	1679	5623
230	1686	5612
231	1692	5604
232	1699	5594
233	1706	5585
234	1715	5583
235	1721	5571
236	1729	5566
237	1735	5556
238	1743	5550
239	1749	5539
240	1755	5530
241	1761	5518
242	1767	5506
243	1776	5504
244	1783	5497
245	1791	5491
246	1798	5484
247	1807	5482
248	1814	5472
249	1821	5465
250	1829	5458
251	1835	5447
252	1843	5443
253	1850	5433
254	1858	5428
255	1864	5417
256	1873	5415
257	1879	5406
258	1886	5396
259	1894	5391
260	1900	5382
261	1909	5378
262	1914	5365
263	1923	5361
264	1929	5351
265	1937	5345
266	1943	5336
267	1951	5329
268	1957	5319
269	1963	5307
270	1972	5305
271	1978	5294
272	1984	5283
273	1991	5277
274	1997	5266
275	2006	5263
276	2013	5254
277	2020	5247
278	2027	5239
279	2035	5232
280	2041	5222
281	2046	5211
282	2054	5204
283	2060	5193
284	2068	5189
285	2075	5181
286	2082	5172
287	2090	5167
288	2097	5161
289	2105	5153
290	2111	5143
291	2119	5140
292	2125	5129
293	2134	5124
294	2140	5115
295	2147	5107
296	2153	5097
297	2159	5086
298	2167	5081
299	2173	5071
300	2180	5062
301	2188	5057
302	2194	5048
303	2202	5043
304	2208	5033
305	2216	5027
306	2223	5018
307	2231	5012
308	2237	5004
309	2245	4997
310	2251	4988
311	2256	4976
312	2265	4972
313	2272	4963
314	2278	4954
315	2286	4948
316	2292	4939
317	2302	4937
318	2308	4927
319	2318	4926
320	2334	4937
321	2340	4928
322	2347	4920
323	2353	4909
324	2361	4904
325	2368	4895
326	2374	4886
327	2381	4878
328	2387	4869
329	2393	4859
330	2401	4853
331	2408	4846
332	2415	4839
333	2421	4828
334	2429	4823
335	2436	4814
336	2443	4807
337	2449	4797
338	2455	4787
339	2461	4777
340	2467	4768
341	2473	4758
342	2479	4749
343	2486	4741
344	2492	4731
345	2499	4725
346	2507	4717
347	2515	4712
348	2521	4703
349	2530	4700
350	2540	4696
351	2548	4691
352	2555	4683
353	2563	4678
354	2570	4671
355	2579	4666
356	2586	4658
357	2594	4652
358	2600	4643
359	2607	4635
360	2614	4627
361	2620	4617
362	2628	4612
363	2635	4604
364	2641	4595
365	2647	4585
366	2655	4580
367	2661	4570
368	2667	4562
369	2674	4554
370	2680	4544
371	2687	4536
372	2694	4530
373	2702	4524
374	2711	4518
375	2717	4509
376	2726	4504
377	2732	4496
378	2740	4489
379	2745	4480
380	2753	4472
381	2760	4465
382	2766	4457
383	2774	4450
384	2780	4441
385	2789	4437
386	2796	4429
387	2804	4423
388	2811	4416
389	2818	4408
390	2826	4402
391	2834	4396
392	2840	4386
393	2845	4376
394	2852	4368
395	2858	4359
396	2863	4349
397	2870	4341
398	2878	4335
399	2885	4328
400	2893	4321
401	2900	4314
402	2908	4309
403	2916	4302
404	2924	4297
405	2934	4292
406	2940	4284
